datetime,day_of_week,is_weekend,0,1,2,3,4
2018-01-01 00:00:00,0,0,0.0077,0.0112,0.0143,0.0074,0.0073
2018-01-01 00:05:00,0,0,0.0074,0.008,0.0156,0.0057,0.006
2018-01-01 00:10:00,0,0,0.0093,0.0068,0.0122,0.0082,0.0036
2018-01-01 00:15:00,0,0,0.0112,0.0089,0.0148,0.0104,0.0044
2018-01-01 00:20:00,0,0,0.0144,0.0081,0.0258,0.0147,0.0036
2018-01-01 00:25:00,0,0,0.0153,0.0142,0.0255,0.0201,0.0073
2018-01-01 00:30:00,0,0,0.0172,0.0245,0.0157,0.0221,0.009
2018-01-01 00:35:00,0,0,0.02,0.0246,0.0228,0.0262,0.0088
2018-01-01 00:40:00,0,0,0.0183,0.0262,0.0129,0.0196,0.0129
2018-01-01 00:45:00,0,0,0.0215,0.034,0.0269,0.0195,0.0153
2018-01-01 00:50:00,0,0,0.0191,0.0269,0.0234,0.022,0.0159
2018-01-01 00:55:00,0,0,0.019,0.0361,0.0161,0.0227,0.0174
2018-01-01 01:00:00,0,0,0.0189,0.0338,0.0218,0.0219,0.0129
2018-01-01 01:05:00,0,0,0.0435,0.0246,0.016,0.018,0.0205
2018-01-01 01:10:00,0,0,0.0165,0.0348,0.0176,0.0201,0.01
2018-01-01 01:15:00,0,0,0.0179,0.0319,0.0112,0.017,0.0138
2018-01-01 01:20:00,0,0,0.0176,0.0251,0.0099,0.0203,0.013
2018-01-01 01:25:00,0,0,0.0143,0.0355,0.0239,0.0179,0.0108
2018-01-01 01:30:00,0,0,0.0205,0.0244,0.0311,0.0167,0.0103
2018-01-01 01:35:00,0,0,0.0102,0.0262,0.0251,0.0161,0.0073
2018-01-01 01:40:00,0,0,0.0167,0.0243,0.0277,0.0148,0.0092
2018-01-01 01:45:00,0,0,0.0139,0.0275,0.0178,0.0109,0.0076
2018-01-01 01:50:00,0,0,0.015,0.0296,0.0127,0.0203,0.0104
2018-01-01 01:55:00,0,0,0.0146,0.0213,0.0238,0.0168,0.0057
2018-01-01 02:00:00,0,0,0.0127,0.0219,0.015,0.0097,0.0096
2018-01-01 02:05:00,0,0,0.0123,0.0186,0.0047,0.0137,0.0107
2018-01-01 02:10:00,0,0,0.0191,0.0193,0.0212,0.0094,0.0075
2018-01-01 02:15:00,0,0,0.0133,0.0246,0.0195,0.0139999999999999,0.003
2018-01-01 02:20:00,0,0,0.0134,0.0203,0.0054,0.0119,0.0069
2018-01-01 02:25:00,0,0,0.0111,0.0159,0.0069999999999999,0.0123,0.0093
2018-01-01 02:30:00,0,0,0.0109,0.0202,0.0146,0.0098,0.0042
2018-01-01 02:35:00,0,0,0.011,0.0181,0.0174,0.0134,0.0074
2018-01-01 02:40:00,0,0,0.0111,0.0155,0.0101,0.0127,0.0042
2018-01-01 02:45:00,0,0,0.0104,0.0124,0.0098,0.0108,0.0053
2018-01-01 02:50:00,0,0,0.0094,0.0139,0.0066,0.0093,0.0062
2018-01-01 02:55:00,0,0,0.0112,0.0108,0.0097,0.0086,0.004
2018-01-01 03:00:00,0,0,0.0108,0.0149,0.0043,0.0073,0.0064
2018-01-01 03:05:00,0,0,0.0089,0.0142,0.0118,0.0062,0.0069
2018-01-01 03:10:00,0,0,0.0074,0.0111,0.005,0.0053,0.0065
2018-01-01 03:15:00,0,0,0.0101,0.0159,0.0025,0.008,0.0036
2018-01-01 03:20:00,0,0,0.0075,0.0161,0.0103,0.0041,0.0048
2018-01-01 03:25:00,0,0,0.0079,0.0118,0.0208,0.0055,0.0033
2018-01-01 03:30:00,0,0,0.0087,0.0152,0.0108,0.0034,0.003
2018-01-01 03:35:00,0,0,0.0096,0.0133,0.0142,0.005,0.004
